timestamp,open,high,low,close,volume
15-04-25 17:00,1622.57,1626.92,1612.96,1616.03,15356.7422
15-04-25 18:00,1616.04,1619.04,1604.34,1610.49,19021.7588
15-04-25 19:00,1610.48,1613.12,1597.17,1606.96,18561.3152
15-04-25 20:00,1606.95,1614.78,1586.35,1594.94,19728.2371
15-04-25 21:00,1594.94,1605.91,1589.8,1603.65,10600.0953
15-04-25 22:00,1603.64,1603.8,1583.12,1590.89,12769.9427
15-04-25 23:00,1590.88,1597.68,1585.42,1588.78,12059.8382
16-04-25 0:00,1588.77,1595.08,1576.5,1581.1,20395.6199
16-04-25 1:00,1581.1,1600.8,1578.83,1596.69,14257.4116
16-04-25 2:00,1596.69,1604.4,1593,1598.59,11044.005
16-04-25 3:00,1598.6,1601,1589.04,1591.04,8028.2243
16-04-25 4:00,1591.04,1593.66,1577,1587.25,17218.8889
16-04-25 5:00,1587.25,1592.93,1551.18,1569.36,51562.8945
16-04-25 6:00,1569.35,1579.99,1566.6,1576.48,16328.5973
16-04-25 7:00,1576.48,1579.15,1563,1564.28,12902.4428
16-04-25 8:00,1564.28,1583.48,1556.7,1575.49,25362.7748
16-04-25 9:00,1575.49,1579.64,1567.54,1568.28,12454.5239
16-04-25 10:00,1568.28,1584.26,1567.7,1581.62,12215.5002
16-04-25 11:00,1581.63,1586.1,1576.24,1584.17,11103.1602
16-04-25 12:00,1584.18,1588.6,1575.18,1577.34,15202.901
16-04-25 13:00,1577.35,1582.06,1566.28,1567.62,28519.5387
16-04-25 14:00,1567.61,1599.32,1567.17,1591,44613.9958
16-04-25 15:00,1591,1613.66,1585.26,1590.69,39601.9994
16-04-25 16:00,1590.7,1597.19,1576.13,1592.66,21231.1211
16-04-25 17:00,1592.66,1612.83,1538.07,1545.7,92373.2671
16-04-25 18:00,1545.71,1580.25,1543.19,1566.5,53253.429
16-04-25 19:00,1566.49,1595.45,1552.36,1588.6,41673.0146
16-04-25 20:00,1588.61,1594.18,1570,1573.63,17199.7616
16-04-25 21:00,1573.62,1598.15,1571.54,1592.03,20905.7545
16-04-25 22:00,1592.04,1592.9,1583.8,1587.72,11389.3154
16-04-25 23:00,1587.72,1588.53,1572.67,1577.14,12549.727
17-04-25 0:00,1577.15,1586.82,1574.69,1585.2,15354.1405
17-04-25 1:00,1585.19,1593.84,1582.76,1589.3,14396.747
17-04-25 2:00,1589.31,1593.24,1582,1591.93,14285.6358
17-04-25 3:00,1591.93,1595.57,1577.47,1584.91,15875.0114
17-04-25 4:00,1584.91,1592.56,1580.99,1591.29,11278.5838
17-04-25 5:00,1591.29,1603.69,1589.84,1598.99,19649.8241
17-04-25 6:00,1598.98,1609.45,1597.38,1602.1,17944.2278
17-04-25 7:00,1602.11,1610.53,1599.58,1601.6,16771.1287
